Expected,Predicted,Content
DEFAULT,COMPLIMENT,thank you
DEFAULT,COMPLIMENT,hi the charge for re issue is thanks
DEFAULT,REQUEST,can i know from u if the card is ready for pick up
DEFAULT,REQUEST,hello i want to use my access visa debit to pay for a service nite online pls wat is d current rate dat i will b charged
DEFAULT,REQUEST,please how much do you charge for verve card re issue i think you might have overcharged me
DEFAULT,MISCEALLANEOUS,i ve done that
DEFAULT,COMPLAINT,of course have downloaded the app but at times mayb if i runs out of subscription and there's no access to login into app
DEFAULT,REQUEST,pls otp password for internet banking also
DEFAULT,COMPLAINT,day na story o no reversal yet
DEFAULT,COMPLAINT,i don't have utility bill
DEFAULT,REQUEST,i have check my response
DEFAULT,REQUEST,i have sent a dm waiting for your response thanks
DEFAULT,REQUEST,patiently waiting
DEFAULT,REQUEST,hi i need to dm wanna complain about something
DEFAULT,COMPLAINT,not working 'unknown result' keeps popping up
DEFAULT,COMPLAINT,then it is illegal
DEFAULT,REQUEST,is it possible to check my account balance via sms
DEFAULT,COMPLIMENT,thanks
DEFAULT,COMPLAINT,am i safe with the call cos am worried they promise to send me the pin in hrs time
DEFAULT,REQUEST,ok thanks but is there a guarantee that visa will work
DEFAULT,COMPLAINT,the information displayed we are unable to deduct money from your card sorry for the inconvenience
DEFAULT,REQUEST,my access bank mobile application on my phone and she asked me if they can send me my pin or i shud get it the bank
DEFAULT,COMPLAINT,no i didnt receive an otp
DEFAULT,COMPLAINT,i already called the number yet no solution
DEFAULT,REQUEST,hope i can complete transaction with masterscard
DEFAULT,REQUEST,der access bank please help i just sent a dm right now
DEFAULT,MISCEALLANEOUS,pls i don't know what happen i tried link my mastercard paypal paypal said d card is not accepted what could b d prob
DEFAULT,REQUEST,please what is the dollar naira exchange rate if i use my card for an online international transaction today
DEFAULT,COMPLIMENT,alright thank you
DEFAULT,COMPLAINT,day na story o no reversal yet
DEFAULT,REQUEST,pls help i've to wait till next tues toda
DEFAULT,COMPLAINT,in this challenging times reversal of failed pos transaction shud nt take days https: t
DEFAULT,COMPLAINT,hello i tried to use my access mobile app on my new android device and it asking me that the feature has been disabled
DEFAULT,REQUEST,please my account is restricted i don't seem to know why i will appreciate ur early reply thanks
DEFAULT,SUGGESTION,change is really affecting nigeria walking into could be walking into prison
DEFAULT,COMPLAINT,i tried changing the pin but there was only one option
DEFAULT,REQUEST,happy birthday we appreciate you enjoy your day
DEFAULT,REQUEST,hi plz i hv a prblm wit my bvn details my first name ws used as my surname nw it's affecting my other bank acc
DEFAULT,MISCEALLANEOUS,hello can i use lasrra as a form of identification
DEFAULT,COMPLAINT,that sms banking is nt work although is nt like gtb i try it almost times is nt going
DEFAULT,REQUEST,when i visited the link i saw visa card and mine is master card
DEFAULT,COMPLIMENT,thank you
DEFAULT,COMPLIMENT,thanks alert received and appreciated you're doing a great job
DEFAULT,REQUEST,can i transfer upto million using access mobile app in a single transaction urgent
DEFAULT,REQUEST,please there should be mobile banking in windows phone is affecting me since my android spoil
DEFAULT,COMPLAINT,day na story o no reversal yet
DEFAULT,COMPLAINT,it was ur pos pls release d money to as they claim it's ur issue
DEFAULT,REQUEST,pls help i've to wait till next tues today is day
DEFAULT,COMPLIMENT,thanks alert received and appreciated you're doing a great job
DEFAULT,MISCEALLANEOUS,the bells university of tech ota ogun state
DEFAULT,REQUEST,pls how can i registered my mobile banking through access acct
DEFAULT,COMPLAINT,unable to deduct money from my card why
DEFAULT,COMPLAINT,please i'm trying to do a transaction online using my card but when i fill in my card details it says unable to deduct
DEFAULT,COMPLAINT,the only mobile app that has not let me down is still access bank mobile app fantastic app guys welldone
DEFAULT,COMPLIMENT,g m av received my account no on monday but am yet see the alert for the k during acessbank thanks
DEFAULT,COMPLAINT,hi i made a card request over weeks ago still haven't received i was told it takes only working days
DEFAULT,MISCEALLANEOUS,thanks i will do just that during the week
DEFAULT,COMPLAINT,dms i suppose
DEFAULT,COMPLIMENT,yes sure
DEFAULT,COMPLAINT,yea masterscard
DEFAULT,MISCEALLANEOUS,abeg wetin i do that you restricted my account o
DEFAULT,COMPLIMENT,thank ol
DEFAULT,REQUEST,savings or current
DEFAULT,REQUEST,what will i need to open the account
DEFAULT,REQUEST,you dint answer the whole question will the account be open immediately and will i get a masters card the same day
DEFAULT,REQUEST,it is a local transfer from my access bank to other banks
DEFAULT,REQUEST,please which of your branches in lagos can i go to and open an account and get master card atm immediately
DEFAULT,REQUEST,please do call now it will go through an app was blocking ur call b
DEFAULT,REQUEST,ok so if am to deposit $ into my broker account that means naira will be deducted from my account
DEFAULT,REQUEST,please respond to my dm please
DEFAULT,REQUEST,can someone reply to me please
DEFAULT,REQUEST,please i want to pay my forex broker will i be charge with the official rate or black mkt rate
DEFAULT,COMPLAINT,infact this is the quickest response have gotten from any bank appreciate keep it up
DEFAULT,COMPLIMENT,thanks for assistance
DEFAULT,COMPLIMENT,thanks so much
DEFAULT,REQUEST,pls i need the code to check my account balance thanks
DEFAULT,REQUEST,: hi access pls i need the code that will enable me to check my account balance on phone if there's any thanks
DEFAULT,REQUEST,saving account
DEFAULT,COMPLAINT,who is taking the first step of relationship with the big brand
DEFAULT,COMPLAINT,working on a saving account for two weeks to the chagrin of an admirer
DEFAULT,REQUEST,a big brand could be a shelled up slow giant snail
DEFAULT,COMPLAINT,to prospects to thinkers this is where the acclaim comes from
DEFAULT,COMPLAINT,and the ease of access by customers the responsiveness of the system to
DEFAULT,COMPLAINT,it is to be appraised by the fluidity of the new innovative channels and
DEFAULT,COMPLAINT,it is not even to be assessed by the effectiveness of the popular channels
DEFAULT,MISCEALLANEOUS,professionalism is not synonymous with the big brand image
DEFAULT,MISCEALLANEOUS,follow back so i can dm you the number
DEFAULT,COMPLAINT,in this challenging times reversal of failed pos transaction shud nt take days
DEFAULT,REQUEST,thanks waiting for the reply
DEFAULT,REQUEST,i've followed please follow back so i can dm cos right now i can't small
DEFAULT,MISCEALLANEOUS,so i will hav to goto d bank to get naira mastercard
DEFAULT,COMPLAINT,sms banking is nt going why
DEFAULT,MISCEALLANEOUS,just
DEFAULT,REQUEST,can i use verve cards international transaction
DEFAULT,COMPLIMENT,thank you and for helping to resolve my account issues cc
DEFAULT,COMPLAINT,i transferred money from gt to access bank acct since yesterday i was debited yet the access acct has not been credited
DEFAULT,COMPLAINT,so what use are you guys to me i'm closing my account when i get to nigeria
DEFAULT,REQUEST,yeah i've spoken to a rep and my problem has been sorted out thanks
DEFAULT,MISCEALLANEOUS,i can't find airtime purchase
DEFAULT,COMPLAINT,i have tried that number its not going
DEFAULT,REQUEST,you guys don't have a branch in monrovia if you do please give me the address thank you
DEFAULT,REQUEST,bunch of incompetent people everywhere in this country
DEFAULT,COMPLAINT,plz i'll like to speak to a customer care rep on phone can i get an active phone number cos is not going
