Expected Category, Predicted Category,Content
COMPLAINT,COMPLAINT,the typically replies in an hour should be changed i have messaged last night and still awaiting a response
COMPLAINT,COMPLAINT,chat conversation startm people like this including vikas pandit and  friendsbankfinancial institutionpmmy name dinesh harjani  hdfc call centre stinks from past  days i am requesting for refunding my money my complaint id is mumc any one hdfc can hear    or do i have to register official complaint for cheating  misleading  mental harrassment   pmdear dineshwe note that you have already logged a complaint with our phone banking team vide docket number mumc our phonebanking officer will revert to you within  working days in case your query requires further investigation and takes a longer time we will keep you informed on the time required for resolution we request your patience in the interim bejoythis was lodged on thdo you mean that it takes  days to return my moneyridiculouskindly wait till monday for customers to see what is hdfc doing with preferred customers
COMPLAINT,COMPLAINT,page says that the replies will be given in an hour its been almost  hours but still am waiting please look into my issue thanks
COMPLAINT,COMPLAINT,why this bank doesnt consider the time of customers almost  customers waiting and only one counter is open in cochin banarjee road branch
COMPLAINT,COMPLAINT,hi bank well i am writing to express my serious disappointment on the way things have been happening with my account despite being a salary account holder with hdfc in an mnc now i have reached a point where i am planning to cut down on all financial relationships with hdfc here goes the story i had a credit card which got blocked by the bank which is understandable my fault now when i started making the payment not be delinquent in any way i requested for a change of address and phone number which never happened i moved to bangalore from hyderabad a few days ago i get a call from some number to make the payment and i am informed that they have taken an approval and i need to send cheques to a particular address now can i base my actions on a phone call  then after  days i see that  from my account get swiped and i am running post to pole to get answers to it finally when my relationship manager helped me the person from hyderabad team cuts a sorry figure and tells me that though this is not how it should have been done it has been done and nothing much can be done guys is this the way you function without a perfect sync within teams lack of communication and above and beyond this testing the patience of a honest customer who could not make the payment some time earlier being unemployed i am sorry but this is not how the other banks work i have been with some best ones and they would always get in touch with the customer before even debiting a penny out of it i just hope my note reaches the right person and i am called for a connect on the issue the money is gone so is my liability i am happy but i am equally sad for the processes that you folks follow    you may get in touch with me on  i cannot share my customer id here
COMPLAINT,COMPLAINT,dear team u would like to give feedback about your hdfc bank am have  hdfc bank account in faridabad january onward hdfc bank deduct  rs per months for maintenance charge and am mail hdfc customer support mail id but no any response after  days amgive reminder than am receive rply from me nilesh mr nilesh says this is non maintenance charge am give reply this maintenance charge why not deduct before january after am not received reply am requesting to hdfc team please refund my  months money * = and also revert on my mob 
COMPLAINT,COMPLAINT,i also found very worst management last one year i am waiting for my pin no also want to update phone number many time
COMPLAINT,COMPLAINT,i did wait for  days
COMPLAINT,COMPLAINT,miss behaviour disrespectful from branch manger poor service no response poor services provided by hdfc sector  chandigarh i will never go to this branch eva    they came to us and beg for opening account to achieve there targets and talk rude plus miss behave on the time of servicei will go to consumer court and close my all accounts right now
COMPLAINT,COMPLAINT,really sad state of affairs   i tried to use my hdfc bank debit card at an axis bank atm   tried to withdraw  and the machine read your last transaction got cancelled  after  mins i get a message of rs  withdrawn from my account this happened on th may in gurgaon and post that i am doing the rounds of the bank in gurgaon and calling the call centre i dont know how many times and filling forms etc etc  days back i am told that axis bank says withdrawl is done and i am asked to connect with the call centre and the call centre tell me to go to the bank really really annoyed on how you guys value a common mans time and his hard earned money  
