Expected Category, Predicted Category,Content
COMPLAINT,COMPLAINT,how much time it takes get dd issued by sbi? depends for a poor a c holder operating with his her thumb it is hrs
MISCELLANEOUS,MISCELLANEOUS,you can get in touch with them through their twitter handle or their website
REQUEST,COMPLAINT,my debit card has been blocked please issue directions on what has to be done to regain access
COMPLAINT,COMPLAINT,i wrote to you almost days back but still no revert
REQUEST,REQUEST,applied irctc cr crd i m wrking in psu yrs sb a c in sbi rec msg no cibil cr with cibil cr i got car loan?
MISCELLANEOUS,MISCELLANEOUS,get social about getting a new cheque book you can now order a new cheque book via sbimingle bankingunbound
MISCELLANEOUS,MISCELLANEOUS,at this point it s a joke sbiclerk
COMPLAINT,COMPLAINT,please focus on improving customer service inside sbi bank branches officers behave as if they are the supreme authority
REQUEST,COMPLAINT,possibility of coming u tax net could repel wholesellers and msmes need awareness generation on cost of cash
COMPLAINT,COMPLAINT,i had send mail nodal and regional manager and twitter mail i d but no response
COMPLAINT,COMPLAINT,you people are not responding to thousands of tweets floating over the sbi clerk mains results this shame to sbi
MISCELLANEOUS,COMPLAINT,sbi branch is about km from my village
MISCELLANEOUS,MISCELLANEOUS,you can get in touch with them through their twitter handle or their website
MISCELLANEOUS,MISCELLANEOUS,you can get in touch with them through their twitter handle or their website
REQUEST,REQUEST,if a cheque is presented for clearing on monday can i deposit sufficient fund on sunday for it?
COMPLAINT,COMPLAINT,pathetic customer service requesting noc for my card from days calls all?
COMPLAINT,COMPLAINT,i have gone to bank thrice in weeks just to update my number its not yet done they are just saying its becoz of network
MISCELLANEOUS,MISCELLANEOUS,retwt?
COMPLIMENT,COMPLAINT,thanks for the clarification people would now be better informed about aadhaar and its usage in sbi digitalindia
MISCELLANEOUS,MISCELLANEOUS,icymi we got a new investment from our current shareholder
MISCELLANEOUS,MISCELLANEOUS,please elaborate on your concern we will be happy to assist you
REQUEST,COMPLAINT,i want to redeem my points but don t know how it be redeem plzzzzz help
COMPLAINT,COMPLAINT,i tried to call sbi customer care several time but no response
COMPLAINT,COMPLAINT,disappointed whenever i visit the e banking kiosk station headquarter lucknow the machines over?
REQUEST,COMPLAINT,need a student loan can any one help me of my branch kalna
COMPLAINT,COMPLAINT,i have already gone through d process and every time i try to login using temporary id n password it says server ever
REQUEST,REQUEST,he told me to visit my branch and apply for a new atm card
REQUEST,COMPLAINT,can name of nominee be changed online through internet banking if yes steps please
COMPLAINT,COMPLAINT,how come all of a sudden my card got blocked without any intimation? i m in a huge trouble please help
REQUEST,COMPLAINT,my account is in bareilly i don t visit bareilly anymore how can i close my account from gurgaon branch?
COMPLAINT,COMPLAINT,please stop fooling the citizens of india remove from your website that you offer loan on electric vehicles
COMPLAINT,COMPLAINT,why should go to my village just to update my mobile no ? dissapionted in services no customer frndly
COMPLAINT,COMPLAINT,this is bad password advice if a customer uses a secure unique p w they need only change if t?
