COMPLAINT	i must tell u that even after months not a single person has ever called me from yr bank w r t this issue
REQUEST	please how much is the exchange rate for international card transactions using ur card online 
COMPLAINT	am fed up with banks like 
REQUEST	please check your dm thanks
REQUEST	hi once again forwarded the mail with content of sms pasted on the mail body pls acknowledge
COMPLAINT	they took months provided me only name card instead of image card i have forwarded so many photos they cheated me <u ><u fe f><u fe f>
COMPLIMENT	vijay padiyar thanks hope concerned team will progress from looking ij o 
REQUEST	i get many such msgs everyday i called my icici relationship manager he said to ignore help rykuf
COMPLIMENT	thnks to giving a chance to visit club mahindra reso superb living experience der hope t
COMPLAINT	still not resolved my cc issues its very horrible for ur service i explained abt my present status kindly reve as positive
REQUEST	thanks but i need to inform that its over hours now
COMPLAINT	sr on no card received till date plz issue any debit card on priority i m nt able to trnfr
MISCELLANEOUS	no you can t
REQUEST	dear if you are not interested in giving home loan why were you behind me would have opted for another bank by now 
COMPLAINT	and the phone lines are always busy what the hell is going on
REQUEST	please help me phoenix arc not responding abhishek
COMPLAINT	appno onemonth goneby n partial pickup of document has been done no wonder u r loosin mindshare n marketshare
COMPLAINT	shinoyx com i started the email chain days back still unresolved 
COMPLAINT	my issue is still pending
REQUEST	please my account is restricted i don t seem to know why i will appreciate ur early reply thanks
REQUEST	i need to change the mobile number registered on my credit card is there an easy way to do it i need to do it asap
MISCELLANEOUS	yes sure
MISCELLANEOUS	hi we have made a note of your COMPLAINT we will check and get back to you 
SUGGESTION	disable auto fill data option on your laptop other devices follow safebanking practices to share 
MISCELLANEOUS	not so far required now
MISCELLANEOUS	top banks on twitter via feature in top 
COMPLIMENT	of prompt service i also got an email from aditya a customer service manager icici securities ltd giving me sahil s 
MISCELLANEOUS	here is what your apply online link leads to gm ck
COMPLAINT	so that i can check my card statement for reversal of overnight fees levied by you for decreasing the card limit without any
COMPLAINT	icici is fraud company be aware people they are fraud 
REQUEST	what happened to network this evening i wanted to pay through the pos at shoprite see embarrassment poses even the atm
REQUEST	i need to change my primary contact number can i do it online without visiting branch
MISCELLANEOUS	congrats chiefdigitalofficers who made the news in sept from https 
REQUEST	it s just unnerving
COMPLAINT	made a complain about deducted money from another atm twice nd only half was returned
COMPLAINT	i have spoken to one of the irresponsible customer care executive minutes ago she didn t understand concern can someone
REQUEST	can i still make withdrawal with my naira debit card outside nigeria and pls if yes what is the monthly limit
COMPLAINT	really serious we had to give multiple copies of all documents and sign ten forms to change our resident status gogreen 
COMPLAINT	the first bad experience with the service from bapunagar ahmedabad branch almost a month to open a new account 
COMPLAINT	it shows ur negligence the same dialogue earlier also but no call playing with people money
COMPLAINT	i hv closed my mother s acc deceased day i get a call from custcare for atm card security isn t that being insensitive
COMPLAINT	shut the fuck up team u have pushed me to use such lang u come up with disgusting excuses that u d u
COMPLAINT	how u recruited your employees even they don t know spellings/copying they changed my name to meaning qwywk
COMPLAINT	eight days since i funded for new sb a/c account still not opened totally disappointed jifistatus
COMPLAINT	ur fraud investigation team still not able to find out destination merchant or banker is it ur so called icicisafebanking
COMPLAINT	still awaiting for your call
COMPLAINT	already called customer care today they told me it will be credited by eod still not yet credit hurpxo
COMPLAINT	unauthorized transactions in my bank account on details messaged to you and antiphishing com please act
COMPLAINT	third class useless pathetic experience customer care harass u to full fault is that i hv an account in this hell
REQUEST	you to write to antiphishing com with your contact details incase you receive any such calls fu
COMPLAINT	high level of negligence by axis bank branch manager mr arijit das authority must act
COMPLAINT	horrible service from your loan department no followup from your side you took money but it s not reflected in my account
REQUEST	hi access cdm please and reply back thanks
COMPLAINT	why there s no kannada language in ur challan saw this today in bhattarahal
COMPLIMENT	thanks kotak team faith restored in kotak bank a reason to be a loyal customer of kotak bank
COMPLAINT	unfortunately the bad service at icic direct continues after my COMPLAINT with you i got several calls promising of 
COMPLAINT	x customer suppo not available at am
REQUEST	but i have not done any transaction this month
REQUEST	i noticed a small window in the atm ags spy eye executable is this something to be concerned about
COMPLAINT	still working on d issue guys r u awake frm sep m chasing u don u understand dumbo lazy banksocial
MISCELLANEOUS	and was watching the drama unfold j
COMPLAINT	close this dead atm poor service from past months no ac no money no rec 
COMPLAINT	what about return fzb czj
COMPLAINT	let down my expectations response is disappointing and inefficient paper work i expect swift action on this
REQUEST	hi could you please elaborate your concerns via dm 
COMPLAINT	taking home loan from kotak is mental torture i am not in audit but they are forcing me for ca attestation
SUGGESTION	counters managed customers in hrs at borivali w loan section you guys need to improve your efficiency
REQUEST	pls confirm if this is the authentic access twitter handle
REQUEST	to fund my nairabet account on the at p m my access bank account was debited of but my nairabet
COMPLAINT	respected sir i have an idea to achieve more and gain revenue as well as customer so for my suggestion please reve me thnx
REQUEST	does that include transactions i ve done this month
MISCELLANEOUS	my cibil score but all together staff are just doing time pass and making customer defaulter
MISCELLANEOUS	it is not even to be assessed by the effectiveness of the popular channels
COMPLAINT	plz look into the matter it s already day passpasses no response till now eom
COMPLAINT	and how many more days for that 
SUGGESTION	disable auto fill data option on your laptop other devices follow safebanking practices to share 
COMPLAINT	certainly everyone is unhappy with the service from kotak mahindra bank
MISCELLANEOUS	this was not sent to me a friend of mine shared it
COMPLAINT	i did not get even a simple sms what if i forgot to ask you the status e
COMPLAINT	still no improvement same story one of both atm machines down most of the time 
COMPLAINT	poor customer service
MISCELLANEOUS	amazing persistence
COMPLAINT	how many days u need to resolve d issue ur customer care service very poor they are damn unprofessional give rude reply
REQUEST	check dm message please
COMPLAINT	amazing service by icici mnnexz never let that happen 
COMPLAINT	extremely disappointed with your customer service if a privileged customer is treated this way how are ordinary customer 
REQUEST	i want to repo an access bank account that is used for fraud
REQUEST	still waiting for the call from your side please respond asap
REQUEST	these are fraudsters calls please don t share any information to them 
COMPLAINT	nagpur is this the day closing time there is no cash in the atm too
COMPLAINT	my payment failed on th september is saying that money in stuck with bank but here bank dosnt reply pathetic
MISCELLANEOUS	a small ell instead of small i in the address the s missing after http fraud mail g z
COMPLAINT	thank you pls tell the bank manager next time don t promise me days for credit card she s let the whole bank down
