Complain,  ur bank atm still out of service...no money...people using HDFC with good service.,END,,,,
Complain,RT : your illiteracy about India &amp; its ppl continues  Not sure how it makes sense 2 u when u air Hindi ads in Kannad…,END,,,,
,  Its being over a year &amp; I haven't received any reply on my issue.,,,,,
Complain,Seems u ppl are deaf enuf.,END,,,,
Complain,RT :   still cheque is not cleared slowbank ,END,,,,
Complain,  still cheque is not cleared slowbank ,END,,,,
Complain,Have booked one ticket from BPL to NZM and then cancelled. But the refund hasn't received as yet.  ,END,,,,
 i replied but no revert from their end. Manager's no. mentioned therein was also wrong, I got a mail from a branch,,Complain,END,,
Complain,  How do you expect your customers to call you if you don't provide any contact informatio… ,END,,,,
 multiple calls,  I had to make rounds to the bank, it's scary how they really don't care,Complain,END,,
Complain, Surprising. Recall a dodgy forex txn on my credit card and they immediately blocked the card &amp; sent a new one. ,END,,,,
Complain, had complained to  about suspicious activity and they never really did anything about it,END,,,,
Complain,  I've applied HL in Virar branch but even after 1 month I've received not received the Sanction letter.,END,,,,
 where is the cashback? have not received anything so far on my  savings account, over 60 days now,Complain,END,,,
Complain, So you don't even care to respond to tweets as well .. eh.. nice way of providing support..,END,,,,
Complain, what's use of intrnl debit card when it doesn't work.I tried using platinum debit card in Uae &amp; it doesn't work.I m stuck.,END,,,,
 a transaction on  was cancelled and refund hasn't been reflected in my account yet.,Hey ,Complain,END,,,
Complain, Call Needs to be From Mr. Ravi Narayanan as Promised Earlier. Query Ref No ICICICARE Only Got TarikhPeTarikh,END,,,,
Complain,  not need to do anything for me. I will manage things. I don't want to use your atm services from now on.,END,,,,
Complain, Change this to ICICIBankNeverCares,END,,,,
 close that account. I am opening a AC in axis bank, leave it man,Complain,END,,,
Complain,  they never answer on your issues. But just to manage Twitter,END,,,,
Complain,  what the ATM isn't fixed?? Badi Badi baatin vada Pav khaate.   ,END,,,,
, Any Reason Why  is Giving Tarikh Pe Tarikh from 8 Weeks ? (Ref No),,,,,
Complain,TarikhPeTarikh ICICI ICICIBank,END,,,,
Complain,RT :   u ppl are ridiculous.Can't even reply to one tweet while u keep calling and irritating for cred…,END,,,,
Complain, Money deposited in ATM is not reflected in my account. And no one is answering. waiting,END,,,,
Complain, Shared my contact number on DM but haven't received any call.,END,,,,
Complain,  I want to address a bad experience I have gone through with your bank Housing Loan department.,END,,,,
,      ,,,,,
Complain,ICICI bank cheating with their customers..,END,,,,
,      ,,,,,
 however no call recd,ICICI asked my no. To hear my concern,Complain,END,,,
,   ,,,,,
Complain,bank should have told to wait for a week. This option was given by ur executive.,END,,,,
,   ,,,,,
 so why was this 22k charged to me.,ICICI reduced rate for all on Oct 4 to 9.4,Complain,END,,,
,   ,,,,,
 however icici reduced only 10 bps..1/2,1. RBI reduced rate by 25 bps,Complain,END,,,
Complain,    what is going on in reputated banks like icici..how can we trust..how they are neglecting,END,,,,
,   &amp; it's wealth account &amp; frm last 2weeks no communication ,,,,,
Complain,Don't know wat is going on with such reputed bnk,END,,,,
 no help, been comm via email for 2 mnths,sadly had to escalate to my bank to refute charges  case014625813,Complain,END,,
Complain, funding a township which is not approved by LDA. Is  also apart of this fraud.… ,END,,,,
Complain,  u ppl are ridiculous.Can't even reply to one tweet while u keep calling and irritating for credit card.,END,,,,
Complain, funding a township which is not approved by LDA. Is  also apart of this fraud.… ,END,,,,
Complain, funding a township which is not approved by LDA. Is  also apart of this fraud.… ,END,,,,
Complain, we have had a very embarrassing episode of an international transaction. I'd like to DM you the details...,END,,,,
Complain, your courier partner xpreesbees is horrible not replying mail and not delivering product even if they had for last 6 days,END,,,,
 do ICICI bank authorities really c… , Several attempts failed to get my money back under SR435210712,Complain,END,,,
 First Flight doc P991Q0325705 not yet delivered. Lying at Bhopal since 13/10. No proper reply given by courier., My card PIN,Complain,END,,,
Complain, Icici bank doesn't cares. Had given complete documents to open current account but CHD sec9 branch is not responding :(,END,,,,
Complain, that's nt d point card was blocked for no reason. Saying dr case of fraud. While serving no purpose. What sorcery is this.,END,,,,
Complain, Also this is not about you calling me but selling me something based on lies &amp; deceptions.,END,,,,
Complain, when I can expect call? Its more than 24 hours,END,,,,
 yes u,  hey fraudsters, r u gonna do something about the burglary u did on my acc? Cant believe u cant respond too,Complain,END,,
Complain, i am shocked he was use very unprofessional behavior &amp; threat me !,END,,,,
Complain,RT :   thy r least interested in problems facing by their customer in daytoday life..poorcustomerservi…,END,,,,
got only 4600 frm Atm    ,withdrw amt 0f 5000Rs.frm Atm (CanaraBank Durgapura jaipur,Complain,END,,,
, ,,,,,
 however no call has been received...,U asked me to share d no. I have shared,Complain,END,,,
Complain, not resolved till now..!! Really not happening <ed><U+00A0><U+00BD><ed><U+00B8><U+0090>,END,,,,
