Expected,Predicted,Content
COMPLAINT,REQUEST,is giving me a tough time how the hell do i change the registered mobile number on my credit card
COMPLAINT,COMPLIMENT,vry amazing dat despite rate redn by rbi you chose to corner the benefit for urslf by nt pssing the reduction customers
COMPLAINT,REQUEST,would you care to reply  or pretend caring and ignore like your customer care does
COMPLAINT,MISCEALLANEOUS,dear sirdear kotak teamthere is no reply on my tweet dt th oct pm  clear case of misselling insurance/inv
COMPLAINT,REQUEST,recieving a message you are not authorized to view the page kotaknetbankingdown
COMPLAINT,REQUEST,kindly check have requested credit card on ur site rec call on this number in   pm that was fishy fr me pl investigate
REQUEST,MISCEALLANEOUS,i have submitted the evidence of whatsapp chat and the answer is same share the email id and will send to you all details
MISCEALLANEOUS,COMPLAINT,days and the elephant called icici bank has not moved reward of banking from inception being wealth management customer
MISCEALLANEOUS,REQUEST,this is how fraudster operate  web address is same except *s* missing in *https* and *l* used inst
MISCEALLANEOUS,COMPLIMENT,ultimately he had to take down the tweet and tweet a fresh tweet tagging to which finally they replied  /
MISCEALLANEOUS,REQUEST,finally  after months of waiting
MISCEALLANEOUS,REQUEST,i have od account in your neemuch fwa  branch which no is in this account many time irrevere
MISCEALLANEOUS,COMPLAINT,cc closure request and confirmation   but card account still in force
MISCEALLANEOUS,COMPLIMENT,sure
REQUEST,COMPLAINT,someone is misusing my email id on an icici bank account; how can this be stopped
REQUEST,MISCEALLANEOUS,i want to talk with some authories senior people who has power of decisions making my no
REQUEST,COMPLAINT,you to write to antiphishing com with your contact details incase you receive any such calls  furt
REQUEST,COMPLAINT,is this a valid email  i do not have any account with you ending with
REQUEST,COMPLAINT,number my new relationship manager's number to contact if i wanted anything  however i called sahil today for a call
REQUEST,MISCEALLANEOUS,i ll b in delhi on nvmbr contact m
REQUEST,COMPLAINT,can u give a resolution r solution to this  i send a dm as well
REQUEST,COMPLAINT,today i got a mail regading the same where mr  sandeep asking for the further process  let see if he could do that soon
REQUEST,COMPLAINT,why there's no kannada language in ur challan  saw this today in bhattar
