Expected,Predicted,Content
COMPLAINT,COMPLAINT,waste of taking credit card with hdfc
COMPLAINT,COMPLAINT,got so many repeated calls from hdfc bank regarding credit card when i applied; verification completed and waiting for the card i got to see a disapproved status from your sitethings i am annoyed with i did not get any sms  call  email regarding the disapproval of credit card the reason for disapproval is not at all given (wondering why did they disapprove) time spent in this process is completely waste (stop giving repeated calls)i need to know why application has been disapproved worstbankever respectyourcustomer
COMPLAINT,COMPLAINT,worst customer service called ten times but my call was hung upevery time horrible service they over charge on your bills jass 
COMPLAINT,COMPLAINT,cheaters
COMPLAINT,COMPLAINT,rehbl= look into it asap and tell me why u stupids have deducted around  rupees for no reason from my account  an example of worst customer service i have ever seen pm me for further details
COMPLAINT,COMPLAINT,i think hdfc is not interested in doing business and sell credit cards
COMPLAINT,COMPLAINT,amir_hot@yahooca urgently need my money otherwise will move to consimer court will all documents
COMPLAINT,COMPLAINT,worst customer service i had ever seen in my life never ever take loan or any dealings today i went to close my loan and the staff in branch cochin banarjee road are like enemies they are seeing the customers by the grace of god now i dont have any dealings with this killing bank service charge and closure charges
COMPLAINT,MISCELLANEOUS,plzzz consider your customers like human beings only the mistake hdfc customers did is took finance
COMPLAINT,COMPLAINT,why this bank doesnt consider the time of customers almost  customers waiting and only one counter is open in cochin banarjee road branch
COMPLAINT,SUGGESTION,unorganized and unable to handle overseas account professionally and above all with new age technology they are still stuck with fillingposting form physically for every little thing where other banks have moved out of this old age methods
COMPLAINT,COMPLAINT,mera name dhiraj gupta  rs ke notes ki bhooth problem hai plz arrange karwaiye branch mai nahi milthye branch masoodpur mai pata kiya waha aa hi nahi rahye hai bhoot time se old ya new kaisa bhi nahi aa raha hai ji plz aap arrangement karwaiye old ya new kuch bhi or masoodpur branch mai bhijwaiye regards dhiraj gupta
COMPLAINT,COMPLAINT,please refer to this subject line (hbl= regarding deficiency in service and harassment) on june th  i mailed my grievance at support@hdfcbankcom which has not yet been resolved by you it is a disgrace to the claim of best customer service provider
COMPLAINT,COMPLAINT,i am ur payzapp customer last thursday i paid on bigbasket but didnt receive cashback of rs  registered mobile number 
COMPLAINT,COMPLAINT,dear team u would like to give feedback about your hdfc bank am have  hdfc bank account in faridabad january onward hdfc bank deduct  rs per months for maintenance charge and am mail hdfc customer support mail id but no any response after  days amgive reminder than am receive rply from me nilesh mr nilesh says this is non maintenance charge am give reply this maintenance charge why not deduct before january after am not received reply am requesting to hdfc team please refund my  months money * = and also revert on my mob 
COMPLAINT,COMPLAINT,sent mail to customerservicescards@hdfcbankcom and codecomplianceofficerretailassets@hdfcbankcom and posted here and tried sending many letters to you guys
COMPLAINT,COMPLAINT,i did wait for  days
COMPLAINT,COMPLAINT,my cradit card number is  xx xxxx  my payment due date was th of every month but now without informing me you have changed it th could you tell me the reason please  secondly my salary credited in my account between th th every month  suppose my salary comes on th than i would not be able to make the payment on th than who will be responsible for late payment charges i have not asked you to changed my payment due date than why have you done this also i have a jambo loan loan no  xx xxxx  you have done the same for this only  look i have no time to write a mail or comment on social media every time or day request you to kindly make may payment due date a before ( or  every month) otherwise i will not pay any late payment charges kindly do not make your customer mentally disturb vijay kumar 
COMPLAINT,COMPLAINT,why your bank representative making fool of your customers and y they r doing miss commitments with your customers i m really fedup with your services
COMPLAINT,SUGGESTION,why cant hdfc build a website that works  the login button dosent even show up due to the heavy graphics used all over the site  its such a basic thing and you cant get it right
COMPLAINT,COMPLAINT,your bank is worst customer service provider  i am sorry but have to use this platform to get the attention of your bank  being an nri i will never recommend your bank to anyone and rather ask my friends n relatives to go to other banks who care for their customers and want to grow their business
COMPLAINT,COMPLAINT,i have a hdfc bank jet priviledge platinum credit card (mastercard) it is clearly mentioned on hdfc bank website that this card provides lounge access at select airport lounges in india however at hyderabad airport lounge i was told that my card does not have lounge access since then i have been calling hdfc bank customer care and they are just fooling me by asking me to call jet airways master card get priority pass and what not when its written on the hdfc bank website that the card has lounge access then i dont understand why i am being denied entry over there can anyone please help me with this  
COMPLAINT,REQUEST,i have taken policies of hdfc now hdfc has forfited my premium due to non payment of premium for next yea
COMPLAINT,COMPLAINT,i have queries regarding credit card bill statement didnt get proper assistance from customer service i am planning to block my credit card and account too  its utterly disappointing
COMPLAINT,REQUEST,security compromised   someone called me yesterday saying that he accidentally transferred money from his account to my account can you transfer it back i told him to which account did you transferred the money and how did you manage to get my cell phone number he said he got my number from icici bank he said he will check and get back i checked and found the rs  has been made to my account from unknown account i wanted to transfer it back to himthe bigger question is how can anyone walk in to icici and get my contact details and make me calls on my registered mobile number
COMPLAINT,REQUEST,dear mr atmagreetings from icici bank we inform you that the request initiated for the cancellation of credit card account with service request number sr has not been processed as there is outstanding of rs  in your credit card account
COMPLAINT,COMPLAINT,i have applied for po posting in icici but i didnt recevie my login id and password kindly send it
COMPLAINT,COMPLAINT,i want to award icici bank for being d worst customer friendly award a bank which is never wrong only customers are wrong who employee never do wrong selling of credit cards but customer hears them wrong whose asstt manager at okhla branch communicates wrongs information branch managers accepts it but never takes action n neither refunds d wrong charged fee u call him he as assurances but no action n then u realise the customer was wrong issues priority pass which allows free access to airport lounges and they end up charging u n then again prove customer was wrong
COMPLAINT,COMPLAINT,your team dont have manners how to talk to a customer what ki d of relationship you are maintaining with customer if this is the way than please let me know the process how to close all relation with icici bank i dont want to continue with icici bank any more
COMPLAINT,COMPLAINT,pathetic they do not have branch contact numbers on their web sitesurprising the customer service does not have either
COMPLAINT,REQUEST,hi icici bank team i am trying to do icici bank transaction by debit card (bus reservation) but your servers are down please check as soon as possible 
COMPLAINT,COMPLAINT,i am still waiting for credit card i applied  days ago no any icici executive call me for update the status its very poor service
