Complaint,How much time it takes get DD issued by SBI? Depends For a poor a c holder operating with his her thumb it is hrs,END
Complaint,how can your officials threatened to their customers vre Error done by ur employees only Any answers ??,END
Miscellaneous,Mallya G after getting his all asset seized by,END
Miscellaneous,You can get in touch with them through their Twitter handle or their website,END
Miscellaneous,i don t have enough cash in my hand and that s why my account is NPA but am not cheating to bank ready to pay,END
Request,my property value is times the loan amount and ready to pay all the bank dues in instalment PLEASE HELP,END
Complaint,SBI officials want my property to be auctioned so that their relative can buy it at lesser amount PLEASE HELP,END
Complaint,NEED HELP Loan against property for business got NPA Ready to pay in instalment Officials not agree HELP,END
Complaint,State Bank of India Wakad PimpleNilakh branches say they are PBB and refuse to accept cheques for deposit Core Banking ?,END
Request,my sister is minor she needs bank acc i hav filled her online form in how many days vll she get her acc open in sbi,END
Miscellaneous,You can get in touch with them through their Twitter handle or their website,END
Request,My debit card has been blocked Please issue directions on what has to be done to regain access,END
Complaint,I wrote to you almost days back but still no revert,END
Request,Applied IRCTC Cr Crd I M wrking in PSU yrs SB A c in SBI Rec Msg No CIBIL Cr With CIBIL Cr I got car loan?,END
Request,Applied IRCTC Cr Crd I M wrking in PSU yrs SB A c in SBI Rec Msg No CIBIL Cr With CIBIL Cr I got car loan Inquiry req,END
Request,SBI Loan Against Property mortgageloan,END
Request,If my adhar card address belong to surendranagar district of guj i want to open acc in Patan District Guj is it possible?,END
Miscellaneous,complaint HL1068926411870,END
Miscellaneous,You can get in touch with them through their Twitter handle or their website,END
Request,Sir please let me know about this problem,END
Request,please declare result of Sbi junior associats clerk,END
Miscellaneous,Get social about getting a new cheque book You can now order a new cheque book via SBIMingle BankingUnbound,END
Compliment,It s a spectacular story of how State Bank ofIndia has come of age is leading innovation in India?,END
Complaint,Unwanted transaction done in jamshedpur branch Branch does not seem to reply or solve the problem Please help,END
Request,Please let me know How many cheques are free of cost,END
Request,when are you guys going to declare sbi clerk result days have passed,END
Miscellaneous,Get social about getting a new cheque book You can now order a new cheque book via SBIMingle BankingUnbound,END
Complaint,my mudra loan rejected because it s IT base start up And now this?? Hypocrisy,END
Miscellaneous,at this point it s a joke sbiclerk2016,END
Compliment,thank you my amount has been reversed,END
Miscellaneous,Get social about getting a new cheque book You can now order a new cheque book via SBIMingle BankingUnbound,END
Complaint,fyi this is the ticket i raised n its resolved but nothing happened HL1681626390640 See if u can do anything,END
Request,When will be sbi clerk result declare? sbiclerk2016,END
Complaint,please focus on improving customer service inside SBI bank branches Officers behave as if they are the supreme authority,END
Complaint,Sorry i dont have that much time n patience left I will apply through some other bank Thanks,END
Miscellaneous,You can get in touch with them through their Twitter handle or their website,END
Request,possibility of coming u tax net could repel wholesellers and MSMEs Need awareness generation on cost of cash,END
Complaint,while depositing cash more than why u charge for that,END
Complaint,at last We took this step for tweets take it sincerely or shut this branch maintain dignity of SBI,END
Complaint,please do something now or shut this branch permanently cheque clearing machine stop from last 12days bad behavior staffshor,END
Request,Please DM with HELP for assistance in using SBI Mingle,END
Complaint,It was changed by the branch only without my instruction in and they are not willing to correct it now,END
Miscellaneous,You can get in touch with them through their Twitter handle or their website,END
Complaint,vide the above msg please reverse the amount,END
Miscellaneous,Operator System Not Available please try after some timePayment of Rs if debited would be reversed soon TID FH22352708,END
Miscellaneous,You can get in touch with them through their Twitter handle or their website,END
Compliment,Thank u very much,END
Miscellaneous,Shape their future while you fulfil your dreams BeTheHope,END
Compliment,thanks for flwng sharing a commen cause sbiclerk2016 ?,END
Miscellaneous,retwt?,END
Complaint,Most shameless organization in dis world Do not care about future of lakhs of students Not willing to giv?,END
Miscellaneous,at this point it s a joke sbiclerk2016,END
Request,Please do not play the games give us sbiclerk2016 results,END
Complaint,I had send mail nodal and regional manager and twitter mail I d but no response,END
Request,Gujarat Bank manager says you have to open account in Surendranagar Gujarat Is it right?Or just bank manager make me fool?,END
Miscellaneous,Ticket number AT429224587759,END
Request,I want to open saving account of my wife In adhar card address is of Surendranagar Gujarat and currently I live in Patan,END
Miscellaneous,Follow us for updates on the products services initiatives of India s largest bank We are proud to be The Banker t?,END
Complaint,you people are not responding to thousands of tweets floating over the sbi clerk mains results this shame to sbi,END
Complaint,when will sbi clerk results release plz give official notification regarding this why sbi mentioned fake contact numbers,END
Miscellaneous,SBI?s Start up Engagement Program supports Entrepreneurs by investing in IT Start ups SBIStartUpEngagement,END
Miscellaneous,Sbi branch is about 30km from my village,END
Miscellaneous,Panic grips Kovilpatti bank as man enters with PetrolBomb Madurai TamilNadu?,END
Miscellaneous,my contact details are aman hotchandani,END
Complaint,for how many days??? I need to check complaint status???,END
Miscellaneous,You can get in touch with them through their Twitter handle or their website,END
Miscellaneous,this is the clue for you I have mention the name of the person RB Tiwari SBI SBI LHO Bhopal you can enquiry for that,END
Miscellaneous,You can get in touch with them through their Twitter handle or their website,END
Request,If a cheque is presented for clearing on Monday Can I deposit sufficient fund on Sunday for it?,END
Complaint,write to banking Ombudsman Plainly unlawful on part of bank to insist on this,END
Complaint,pathetic customer service Requesting NOC for my card from days calls All?,END
Request,Please do not disburse rs note in ATM v are asked to write name on the currency including banks Airports,END
Miscellaneous,concerned r duty bond but compelled do hence norms continued sometime this situation arises satisfy anyone,END
Complaint,i feel other banks are better than SBI they will just do it days dont they know the imp of mobile number for an account?,END
