MISCEALLANEOUS	made a note of the mentioned contact number and will get it investigated  /
REQUEST	i want to know on which senior office u transfer our issue its our right know plz convey us
MISCEALLANEOUS	join md at ascentconclave for an inspiring talk  more info ascen
REQUEST	i need to change the mobile number registered on my credit card  is there an easy way to do it  i need to do it asap
COMPLAINT	want to open an acct customer service telling they trying to call me but whatever calls i got they marked as spam by others
COMPLAINT	facing severe issues wth my bank a/c of yrs no resolution gvn inspite of numerous follow ups
COMPLAINT	it's been more then a month but this bank don't care would suggest everyone to close their relations
COMPLAINT	my credit card is not being deliver since a month now can yo help me get this done as messed it up big time
MISCEALLANEOUS	details about the person are as above
SUGGESTION	register for e bill statements avoid physical copies  save paper to gogreen to share
COMPLAINT	this is what you get    now  why can you not provide statements on app  phone banking email    b
COMPLAINT	nomoneysecurity these cash withdrawals hppnd at icici bank's own atms at mumbai what beatific securty msrs u hv whatnxt
MISCEALLANEOUS	jitendra tripathi director synotive technology india pvtltd ltd
COMPLAINT	making fool from months   debited money from savings account without informing and without reason and no accountability
COMPLAINT	even after days of payment kotak bank is not settling my a/c  getting only false commitments
COMPLAINT	i was in touch with mr  sandeep day but from last one week there is no response  if u r nt intrested u cn tell directly  /
COMPLAINT	seriously u all guys make fake commitments to customer then not responding to us hate the service  bank r b
COMPLAINT	hell guys     i have opened an account with u guys days ago but till now the account is not active yet
COMPLAINT	i shared number yesterday got your confirmation today early morning  however no one reached out to restore the card yet
REQUEST	waiting for update  hope this wait proves worthy
COMPLAINT	how much you people loot   im ready to close account and surrender my credit card  im no more interested in your service
COMPLAINT	neft done days bck still nt cr to beneficiary  callcentre unable help useless unprofessinal guys rnning d show
REQUEST	i am a customer of your bank  do resolve this issue
MISCEALLANEOUS	a small ell instead of small i in the address  the s missing after http  fraud mail
COMPLIMENT	thnks to giving a chance to visit club mahindra resort  superb living experience der  hope t
COMPLAINT	crn no  money debited from the account twice for credit card payment  why do you guys keep doing this
MISCEALLANEOUS	sorry info u tat i hv not been cntctd uptil now inspite f providin my cntct details as askd by u    th wait continues
REQUEST	complain no sr s still not resolved even after days    how many days will u guys take
COMPLAINT	i had a issue with wrong imps transfer i decided quit icici miss sita made me to feel great made me to stay back thank u
COMPLAINT	on top of that cannot connect to customer care   typical kotak service
MISCEALLANEOUS	will be awaited
COMPLAINT	have booked one ticket from bpl to nzm and then cancelled  but the refund hasn't received as yet
COMPLAINT	i hv been in bank over an hr nw to deposit cash yet no one is bothered to do anything abt this
MISCEALLANEOUS	one of my friend received phishing email which looks like genuine  pls
COMPLAINT	applied for savings account on october   still under processing  activated my account in hours in
COMPLAINT	pathetic service not getting service
REQUEST	please do the needful  as everytime we have to withdraw from other bank's atms
REQUEST	please check your dm  thanks
COMPLIMENT	thanks to   my problem solved
COMPLAINT	shittiest service by unable to unblock credit card  fully automated junk  can't speak to a person with
MISCEALLANEOUS	the registered number is i can currently be reached on
COMPLAINT	no transparency by debited my account after one month
REQUEST	got a call from for renewing my atm card   which one of u ws tht   or just phishing
MISCEALLANEOUS	finacleforum client innovation awards process innovation category runnerup is for end to end digiti
COMPLAINT	my updated debit card did not receive blue dart awb  and you have blocked my regular card icici useless
COMPLAINT	chor bank kotak is a chor bank
COMPLAINT	still no improvement  same story  one of both atm machines down most of the time
COMPLAINT	nd i have received msg that refund amt is credited in my account than why r u adding that emi amount in statement
COMPLAINT	your customer service is more than frustrating  calls around an hour of talking and still no solution
COMPLIMENT	i don't think so  u deducted my money  u contact me and fix this  i m putting this on fb
REQUEST	axis bank told to communicate kotak
REQUEST	i got threat call frm icici credit card team numbers fr non payment of rs/  name om singh pls help urgent
COMPLAINT	if customer stops complaining then ur team even forgets that there was a complaint badservice unhappycustomer
COMPLAINT	i have sent my number but nothing happened
MISCEALLANEOUS	and my no is
COMPLAINT	why you proclaim that you have a * customer care support when you can't keep it
MISCEALLANEOUS	a small ell instead of small i in the address  the s missing after http  fraud mail
COMPLAINT	one of the * third class customer care of never ever go with
COMPLAINT	all customer relation mangers too busy to handle an emergency poorcustomerservice
COMPLAINT	its been more than hr still waiting for your so called concern team to reach me
SUGGESTION	availability of challan in kannada must be made mandatory  not on request
COMPLAINT	you have no value for customers  pathetic service
REQUEST	please reach me
MISCEALLANEOUS	followfriday top influencers this week have a great weekend &gt;&gt;
REQUEST	i m interested open trinity a/c with kotak in mg road blr branch can u ask ur expert to call me and explain
COMPLAINT	block chain or blocked operations     feeling disappointed not getting last disbursement
REQUEST	done plz check
COMPLAINT	not happy with your service
COMPLAINT	the vast section in bengaluru understands kannada i cudnt find kannada challan in ur bankthese convincing replies wont wrk
REQUEST	waiting for u to look into the matter
MISCEALLANEOUS	this was not sent to me  a friend of mine shared it
COMPLAINT	no one fraud bank in all private sector one
COMPLAINT	the first bad experience with the service from bapunagar ahmedabad branch  almost a month to open a new account
COMPLAINT	hi i havent received any call until now    can you be serious about these issues or else i all be more serious then
COMPLAINT	shut this official page then if you guys cannot repond to cuatomers compalint
COMPLAINT	atm machines should mention cards issued for foreigners will not be given money but will help deduct your balances sham
REQUEST	please do
COMPLIMENT	i would love to join your campaign being a account holder please initiate the drive in jalgaon
COMPLAINT	messg i get but no call this is service of kotak    my patience they wana appreciate i say hw muc
COMPLAINT	bangalore koramangala branch is very worst to attend to customers
REQUEST	please check dm asap
COMPLAINT	crn no have requested for hard copy of my internet banking password on th sept  e mail also sent but
COMPLAINT	surprising  recall a dodgy forex txn on my credit card and they immediately blocked the card sent a new one
COMPLAINT	tweets icici bank cheating with their customers
