Expected Category, Predicted Category,Content
MISCELLANEOUS,MISCELLANEOUS,_ª?ñ_ªó‚ #heatnation @ wells fargo center 9ij
NEWSNEUTRAL,NEWSNEUTRAL,'massive' wells fargo probe won't be complete until spring - the independent investigation into wells fargo's f... 
NEWSNEUTRAL,NEWSNEUTRAL,'massive' wells fargo probe won't be complete until spring 
NEWSNEUTRAL,NEWSNEUTRAL,'massive' wells fargo probe won't be complete until spring 8fwoof #money #insurance #health
REQUEST,COMPLAINT,i would like to help you. 3evtrzjvk
COMPLAINT,MISCELLANEOUS,how in the hell does it take a week to post a atm transaction
COMPLAINT,COMPLAINT,thank you it would have been helpful to just see that it was internal issue and not my individual issue.
COMPLAINT,COMPLAINT,your customers. i was w/ wachovia for 20 years and since it's become wf i've been continuously let down and i'm sick of it
REQUEST,REQUEST,if you bank w pls consider switching to a credit union. #waterprotectors #waterislife #nodapl
MISCELLANEOUS,MISCELLANEOUS,you're quoted in my #storify post about wells fargo worker health and stress management. 5uejkk8ht
MISCELLANEOUS,COMPLAINT,listen to the wells fargo commercial to taking action and making things right..cnn lost credibility&amp;shd do the same
COMPLAINT,COMPLAINT,wells fargo needs to be investigated for their pay bill svc. they send cks late resulting in late fees for customers
MISCELLANEOUS,NEWSNEGATIVE,wellsfargo
COMPLAINT,MISCELLANEOUS,literally getting a credit union account today cuz fuck wells fargo and chase
MISCELLANEOUS,NEWSNEGATIVE,#latimes 
MISCELLANEOUS,MISCELLANEOUS,congrats on your 250_?_«ô? tweet! 87
MISCELLANEOUS,COMPLAINT,please tell us the location of the wells fargo atm where this happened. we'll look into this. ^ul
COMPLAINT,COMPLAINT,if you order online and use.wellsfargo debit...get ready to pay.double
COMPLAINT,MISCELLANEOUS,- worse than death 8w9g1wgak
MISCELLANEOUS,COMPLAINT,thnx 2 u i probably won't see kehlani
COMPLAINT,COMPLAINT,where did my automatic transfers go on this new system? not thrilled with this new system.
NEWSNEGATIVE,NEWSNEGATIVE,#banks being investigated for #currencyrigging &amp; manipulating precious #metalsmarkets. #wellsfargo
NEWSNEGATIVE,NEWSNEGATIVE,#banks still investigated #ubs #hsbc #morganstanley #juliusbaer outed by #wikileaks #wellsfargo
COMPLAINT,COMPLAINT,#bigbanks didn't learn their lesson because they weren't taught one. #freedompopradio 8 #wellsfargo
NEWSNEGATIVE,NEWSNEGATIVE,#business wells fargo hit with new sanctions following fake-accounts scandal - los angeles times 1ievgdr
NEWSNEGATIVE,NEWSNEGATIVE,#cnnsotu #sundaymorning #thisweek #nytimes #nyt #wellsfargo more fraud at wells f_ñ_ https://t.co/7jyqauv6lu
REQUEST,REQUEST,#divestfromdapl divest #wellsfargo bank -voices from #wa state 0l9r80ouf
MISCELLANEOUS,MISCELLANEOUS,#djtomtaus #teamtaus #wellsfargo _ªéô_ª?__ªéô_ª?__ªéô_ª?_ 6qeybnw
SUGGESTION,NEWSNEGATIVE,#job alert: #bocaraton #jobs teller part time: wells fargo - boca raton_ñ_ for more jobs &gt;&gt;&gt; please go2 our page!
SUGGESTION,NEWSNEGATIVE,#job alert: #fortcollins #jobs mortgage consultant (safe): wells fargo -_ñ_ 3ifdgd for more jobs &gt;&gt;&gt; please go2 our page!
SUGGESTION,NEWSNEGATIVE,#job alert: #issaquah #jobs mortgage consultant (safe): wells fargo -_ñ_ 7zs4l3zb for more jobs &gt;&gt;&gt; please go2 our page!
NEWSNEGATIVE,NEWSNEGATIVE,#naturalnews: #boycott of #cnn sponsors including #geico #wellsfargo #sprint #dodge &amp; #etrade #fakenews #maga
MISCELLANEOUS,COMPLAINT,#officedepot is pulling a #wellsfargo. can we turn wellsfargoing into a verb? 4o
MISCELLANEOUS,COMPLAINT,#takedowncnn #blackoutcnn we've been with u for 7yrs but will reconsider if u continue to support 3o8xoe4eh
REQUEST,REQUEST,#thanksgivingcountdown #nodapl #bankexit pull your money from 5db
COMPLAINT,COMPLAINT,#tistheseason for nazis #wellsfargo #warrenbuffett #berkshirehathaway to do #illegal #foreclosure #disabled_ñ_ 2l9l
NEWSPOSITIVE,NEWSNEGATIVE,#tmcfgala diversity in action and the future is bright #wellsfargo 2gkmzo9f
NEWSNEUTRAL,NEWSNEUTRAL,#trendreversalup $wfcw wells fargo &amp; co pr #tradeideas via __? 8ro1bzxj to #freetradingroom
NEWSNEGATIVE,NEWSNEGATIVE,#wellsfargo #usocc see new rico case eastern virginia alexandria 1:16 cv 1360 cmh/jfa mortgage s_ñ_ 9xd9dl
COMPLAINT,COMPLAINT,#wellsfargo #warrenbuffett #berkshirehathaway are nazis days ago do #illegal #foreclosure #disabled #veteran #home_ñ_ 6siqljgy
NEWSNEGATIVE,NEWSNEGATIVE,#wellsfargo customer account openings plunge 44%. read more: 4jwlf $wfc
NEWSNEGATIVE,NEWSNEGATIVE,#wellsfargo customer account openings plunge 44%. read more: 3q21wpswl $wfc
MISCELLANEOUS,NEWSNEGATIVE,_ò_ 
COMPLAINT,MISCELLANEOUS,$7 to my name but $300 sitting in pending deposits wtf wells fargo how am i supposed to drink tonight
SUGGESTION,NEWSNEUTRAL,$alr $eea $ntest.c $shlo algorithmic buy/sell alerts _ª_œ - 5rl
SUGGESTION,NEWSNEUTRAL,$ares $bur $szc $pf if you want real-time algorithmic trading alerts check out - 1sqcrttd 1v1zdd
SUGGESTION,NEWSNEUTRAL,$bcx $myos $rspp $au if you want real-time algorithmic trading alerts check out - https://t.co/3skgffqnfy 4ke44
SUGGESTION,NEWSNEUTRAL,$chke $cdns $dlb $sbcp find stocks you should be trading _ª_œ - 4gwxx 
SUGGESTION,NEWSNEUTRAL,$cnmd $bpy $mli $wor buy/sell signals market pulse and news. one platform. - https://t.co/7uqivw60vx https://t.co/8wie3upidj
SUGGESTION,NEWSNEUTRAL,$cprt $mc $cara $elc the easiest way to find out stocks to buy! - https://t.co/7uqivw60vx https://t.co/8wie3upidj
SUGGESTION,NEWSNEUTRAL,$esgr $pery $rick $cem need more trade ideas? use this! - 6usyvfql1 5ld
SUGGESTION,NEWSNEUTRAL,$evy $dpm $nly $cmi find stocks to trade - 8rq8fib 4mrfdddxb
SUGGESTION,NEWSNEUTRAL,$fpl $inod $at $ofix the easiest way to find out stocks to buy! - 5rl
SUGGESTION,NEWSNEUTRAL,$gdo $jmt $rell $srva the simplest way to find out stocks to buy! - 4gwxx 
SUGGESTION,NEWSNEUTRAL,$glre $xncr $reis $dplo find stocks you should be trading _ª_œ - 0afj 205vag
SUGGESTION,NEWSNEUTRAL,$igleu $aaap $ston $ulti a platform for day traders by day traders. - 4pgrrq https://t.co/5ct53xripo
SUGGESTION,NEWSNEUTRAL,$immy $mndo $slg $stlru a platform for day traders by day traders. - 0afj 205vag
SUGGESTION,NEWSNEUTRAL,$jpm^f $cls $inov $cpix real-time algorithmic trading alerts - https://t.co/3skgffqnfy 4ke44
SUGGESTION,NEWSNEUTRAL,$met^a $utmd $ssw^e $cash the best way to find stocks to trade - 4yymx 4zccenx
SUGGESTION,NEWSNEUTRAL,$mpo $cee $egrx $ph find stocks to trade - https://t.co/3skgffhy7w 52evc
SUGGESTION,NEWSNEUTRAL,$nee $fdc $swx $ogxi stop missing out! get trade ideas - https://t.co/7uqivw60vx 
SUGGESTION,NEWSNEUTRAL,$nghcz $pnm $flxn $cvg algorithmic buy/sell alerts _ª_œ - 1sqczsv3 7f4hohhb
SUGGESTION,NEWSNEUTRAL,$njr $ta $wbai $fgb buy/sell signals market pulse and news. one platform. - 97bs6c https://t.co/2ezsjxr1zy
SUGGESTION,NEWSNEUTRAL,$nke $ibn $fab $swk find stocks to trade - 97bs6c https://t.co/2ezsjxr1zy
SUGGESTION,MISCELLANEOUS,$org $ctws $fdeu $mitk stop getting into stocks late get in at the start! use this - - 97bs6c https://t.co/2ezsjxr1zy
SUGGESTION,NEWSNEUTRAL,$otic $ms^i $pgz $anh^c find stocks to trade - https://t.co/0g2dycxmg9 https://t.co/9gigedjmjy
SUGGESTION,NEWSNEUTRAL,$pam $blk $kss $wyy stocks to trade - 6k7dkcydw 3w1vuaer
SUGGESTION,NEWSNEUTRAL,$pfbc $tln $clac $feim day trader? you need this - https://t.co/7uqivw60vx 
SUGGESTION,NEWSNEUTRAL,$rlgt $jpi $sedg $tcon the simplest way to find out stocks to buy! - https://t.co/7uqivw60vx https://t.co/8wie3upidj
SUGGESTION,NEWSNEUTRAL,$rpai $amt^a $dpw $ccnww find stocks to trade now - 97bs6c 
SUGGESTION,NEWSNEUTRAL,$rtec $pds $mnst $ndls use algorithmic buy/sell alerts for explosive gains_ªó‚ - https://t.co/3skgffqnfy https://t.co/9c4hexrqvk
SUGGESTION,NEWSNEUTRAL,$spwr $al $fe $fred if you want real-time algorithmic trading alerts check out - 2gnk0ec1h
SUGGESTION,NEWSNEUTRAL,$ssw^d $meip $nyld $aes algorithmic buy/sell alerts - 0dcwh5la0 https://t.co/7xsnabtuq1
SUGGESTION,NEWSNEUTRAL,$sui^a $tcp $igle $fngn a platform for day traders by day traders. - 2gnk0ec1h
SUGGESTION,NEWSNEUTRAL,$swm $ticc $fcap $fcsc buy/sell signals market pulse and news. one platform. - https://t.co/7d490w2jfvhttps://t.co/9b7qpcexrx
SUGGESTION,NEWSNEUTRAL,$wf $usatp $eqfn $psb^v algorithmic buy/sell alerts _ª_œ - 0dcwh5la0 https://t.co/7xsnabtuq1
NEWSNEGATIVE,NEWSNEGATIVE,$wfc new accounts fell because they stopped conjuring them out of their fertile imagination and their existing cust_ñ_ 2
MISCELLANEOUS,MISCELLANEOUS,1-14 tickets ariana grande 3/1/17 wells fargo center - pa 09aifysxf 3rvbqj
NEWSPOSITIVE,COMPLAINT,all signs point to a happy holiday shopping season according to #economists #holidaysales outlook._ñ_ 78ubetm
MISCELLANEOUS,MISCELLANEOUS,attention: skating for the food bank of iowa has moved from brenton to wells fargo arena today._ñ_ 8esqofc6
NEWSNEGATIVE,NEWSNEGATIVE,bank regulator imposes restrictions on 
NEWSNEGATIVE,NEWSNEGATIVE,bank regulator imposes tighter restrictions on wells fargo _ñð us news &amp; world report - 3 #googlealerts
NEWSNEGATIVE,NEWSNEGATIVE,bank regulator issues new restrictions against wells fargo 83oyg #sf
NEWSNEUTRAL,NEWSNEUTRAL,brief-#wellsfargo appoints division manager of real estate specialty group. read more: 9z2ioabrp $wfc
COMPLAINT,MISCELLANEOUS,closed my last checking at wellsfargo. told banker/mngr while she sat with deer in headlight expression why.whats my source you ask? the un
COMPLAINT,NEWSNEGATIVE,closed my wells fargo account 7jwhppf
SUGGESTION,NEWSNEUTRAL,commercial real estate _ñð wells fargo commercial #online #payday #loan 2hrlyk9
